"","gene","Expression_Score","Biology_Score","Druggability_Score","Complement_Evidence","Innate_Sensing_Evidence","Myeloid_Receptor_Evidence","Lupus_Evidence","Known_Target","AI_Target_Score","Target_Class","GWAS_Evidence","Novelty_Score","AI_Target_Score_v2"
"42","HMOX1",21.7624911686124,0,0,0,0,0,0,0,0.451541782990912,"Other",0,0,0.451541782990912
"133","ZNF385A",21.5758417483697,0,0,0,0,0,0,0,0.445820254379619,"Other",0,0,0.445820254379619
"131","CDKN1C",21.5081346474681,0,0,0,0,0,0,0,0.443744769149111,"Other",0,0,0.443744769149111
"115","LPCAT2",21.4881657724098,0,0,0,0,0,0,0,0.443132645683456,"Other",0,0,0.443132645683456
"196","ARHGEF11",21.2355217742674,0,0,0,0,0,0,0,0.435388127313326,"Other",0,0,0.435388127313326
"17","LST1",21.1872320777135,0,0,0,0,0,0,0,0.433907860832432,"Other",0,0,0.433907860832432
"208","SIRPB1",21.1382390151185,0,0,0,0,0,0,0,0.432406033454516,"Other",0,0,0.432406033454516
"179","SLCO2B1",21.1271417205268,0,0,0,0,0,0,0,0.432065858336737,"Other",0,0,0.432065858336737
"194","VSIG4",21.0300803465366,0,0,0,0,0,0,0,0.429090550791638,"Other",0,0,0.429090550791638
"137","ITSN1",20.9530692534608,0,0,0,0,0,0,0,0.426729862117398,"Other",0,0,0.426729862117398
"108","CD163",20.2177452224447,0,0,0,0,0,0,0,0.404189328765828,"Other",0,0,0.404189328765828
"128","CAMK1",20.1947885161794,0,0,0,0,0,0,0,0.403485616685999,"Other",0,0,0.403485616685999
"120","SLC15A3",19.8721130907304,0,0,0,0,0,0,0,0.393594363466633,"Other",0,0,0.393594363466633
"88","PLXNB2",19.5851481638497,0,0,0,0,0,0,0,0.384797775524108,"Other",0,0,0.384797775524108
"118","CPVL",19.2876500984337,0,0,0,0,0,0,0,0.375678306034895,"Other",0,0,0.375678306034895
"193","SPRED1",18.98473171338,0,0,0,0,0,0,0,0.366392682727206,"Other",0,0,0.366392682727206
"146","LILRB4",18.939298096952,0,0,0,0,0,0,0,0.364999966178882,"Other",0,0,0.364999966178882
"53","MPEG1",18.0342324597072,0,0,0,0,0,0,0,0.337256194288978,"Other",0,0,0.337256194288978
"60","TIMP2",18.0209024644261,0,0,0,0,0,0,0,0.336847578236006,"Other",0,0,0.336847578236006
"228","LACC1",17.8009628657668,0,0,0,0,0,0,0,0.330105576547224,"Other",0,0,0.330105576547224
